seed,RejRate
1.0,0.8089999999999999
1.0,0.8005
1.0,0.798
1.0,0.8029999999999999
1.0,0.775
1.0,0.808
1.0,0.786
1.0,0.808
1.0,0.806
1.0,0.7915
1.0,0.7735
1.0,0.8015
1.0,0.792
1.0,0.791
1.0,0.8
1.0,0.8075
1.0,0.802
1.0,0.7995
1.0,0.8045
1.0,0.804
1.0,0.7915
1.0,0.8075
1.0,0.802
1.0,0.7935
1.0,0.785
1.0,0.7955
1.0,0.8009999999999999
1.0,0.795
1.0,0.7855
1.0,0.7865
1.0,0.7989999999999999
1.0,0.7875
1.0,0.7925
1.0,0.7945
1.0,0.8
1.0,0.8009999999999999
1.0,0.7835
1.0,0.7989999999999999
1.0,0.793
1.0,0.8
1.0,0.7969999999999999
1.0,0.794
1.0,0.775
1.0,0.7845
1.0,0.789
1.0,0.8140000000000001
1.0,0.8160000000000001
1.0,0.7895
1.0,0.808
1.0,0.774
1.0,0.7845
1.0,0.788
1.0,0.7815
1.0,0.7969999999999999
1.0,0.795
1.0,0.8
1.0,0.7885
1.0,0.7989999999999999
1.0,0.8075
1.0,0.7995
1.0,0.7969999999999999
1.0,0.796
1.0,0.7805
1.0,0.7995
1.0,0.7895
1.0,0.792
1.0,0.7915
1.0,0.796
1.0,0.793
1.0,0.8069999999999999
1.0,0.8109999999999999
1.0,0.7885
1.0,0.812
1.0,0.8075
1.0,0.7995
1.0,0.7885
1.0,0.7925
1.0,0.791
1.0,0.8109999999999999
1.0,0.8005
1.0,0.7995
1.0,0.7915
1.0,0.8035
1.0,0.7925
1.0,0.796
1.0,0.793
1.0,0.798
1.0,0.7785
1.0,0.778
1.0,0.7795
1.0,0.7975
1.0,0.796
1.0,0.791
1.0,0.788
1.0,0.795
1.0,0.8049999999999999
1.0,0.7875
1.0,0.789
1.0,0.787
1.0,0.796
1.0,0.789
1.0,0.7875
1.0,0.8025
1.0,0.7915
1.0,0.789
1.0,0.7805
1.0,0.8075
1.0,0.7895
1.0,0.7985
1.0,0.7985
1.0,0.7965
1.0,0.8015
1.0,0.7915
1.0,0.7865
1.0,0.7905
1.0,0.8069999999999999
1.0,0.774
1.0,0.804
1.0,0.8035
1.0,0.8
1.0,0.785
1.0,0.7845
1.0,0.802
1.0,0.7875
1.0,0.784
1.0,0.7925
1.0,0.787
1.0,0.7955
1.0,0.785
1.0,0.796
1.0,0.798
1.0,0.78
1.0,0.7895
1.0,0.7785
1.0,0.8015
1.0,0.7685
1.0,0.7989999999999999
1.0,0.784
1.0,0.794
1.0,0.7895
1.0,0.7805
1.0,0.7989999999999999
1.0,0.802
1.0,0.802
1.0,0.8049999999999999
1.0,0.806
1.0,0.7875
1.0,0.795
1.0,0.804
1.0,0.784
1.0,0.8045
1.0,0.7785
1.0,0.7835
1.0,0.8009999999999999
1.0,0.8035
1.0,0.778
1.0,0.7855
1.0,0.7835
1.0,0.782
1.0,0.7885
1.0,0.8135
1.0,0.7925
1.0,0.7705
1.0,0.7895
1.0,0.7935
1.0,0.7895
1.0,0.7895
1.0,0.81
1.0,0.7905
1.0,0.8005
1.0,0.7965
1.0,0.8005
1.0,0.7969999999999999
1.0,0.7985
1.0,0.793
1.0,0.789
1.0,0.7935
1.0,0.778
1.0,0.7975
1.0,0.793
1.0,0.789
1.0,0.79
1.0,0.806
1.0,0.796
1.0,0.808
1.0,0.798
1.0,0.7915
1.0,0.7935
1.0,0.7875
1.0,0.7985
1.0,0.7969999999999999
1.0,0.768
1.0,0.786
1.0,0.789
1.0,0.7915
1.0,0.8009999999999999
1.0,0.7875
1.0,0.802
1.0,0.777
1.0,0.786
1.0,0.8145
1.0,0.8109999999999999
1.0,0.786
1.0,0.8045
1.0,0.798
1.0,0.8005
1.0,0.7975
1.0,0.793
1.0,0.7969999999999999
1.0,0.7915
1.0,0.812
1.0,0.7895
1.0,0.7969999999999999
1.0,0.793
1.0,0.78
1.0,0.8
1.0,0.8075
1.0,0.8029999999999999
1.0,0.7865
1.0,0.812
1.0,0.7895
1.0,0.785
1.0,0.8025
1.0,0.8035
1.0,0.8065
1.0,0.7845
1.0,0.789
1.0,0.8025
1.0,0.8069999999999999
1.0,0.7955
1.0,0.787
1.0,0.7795
1.0,0.7875
1.0,0.78
1.0,0.802
1.0,0.785
1.0,0.7725
1.0,0.8015
1.0,0.792
1.0,0.79
1.0,0.793
1.0,0.812
1.0,0.798
1.0,0.7905
1.0,0.7975
1.0,0.788
1.0,0.789
1.0,0.792
1.0,0.798
1.0,0.8055
1.0,0.778
1.0,0.782
1.0,0.786
1.0,0.7865
1.0,0.785
1.0,0.7969999999999999
1.0,0.791
1.0,0.7925
1.0,0.7845
1.0,0.796
1.0,0.788
1.0,0.789
1.0,0.777
1.0,0.7935
1.0,0.786
1.0,0.79
1.0,0.7865
1.0,0.7985
1.0,0.788
1.0,0.789
1.0,0.8035
1.0,0.7885
1.0,0.8109999999999999
1.0,0.8049999999999999
1.0,0.79
1.0,0.7865
1.0,0.7985
1.0,0.802
1.0,0.7875
1.0,0.7925
1.0,0.7845
1.0,0.8
1.0,0.7985
1.0,0.788
1.0,0.8085
1.0,0.7989999999999999
1.0,0.7985
1.0,0.7925
1.0,0.7935
1.0,0.7875
1.0,0.783
1.0,0.7785
1.0,0.793
1.0,0.8005
1.0,0.789
1.0,0.8045
1.0,0.7915
1.0,0.7795
1.0,0.8069999999999999
1.0,0.791
1.0,0.8025
1.0,0.8115
1.0,0.7865
1.0,0.796
1.0,0.7995
1.0,0.8109999999999999
1.0,0.7915
1.0,0.812
1.0,0.773
1.0,0.7815
1.0,0.81
1.0,0.783
1.0,0.772
1.0,0.7915
1.0,0.7969999999999999
1.0,0.779
1.0,0.7925
1.0,0.798
1.0,0.786
1.0,0.7925
